"date","fremont_bridge_nb","fremont_bridge_sb"
"2012-10-03T02:00:00.000","1","1"
"2012-10-05T01:00:00.000","4","4"
"2012-10-05T03:00:00.000","2","2"
"2012-10-05T23:00:00.000","16","16"
"2012-10-07T22:00:00.000","9","9"
"2012-10-08T01:00:00.000","2","2"
"2012-10-09T02:00:00.000","2","2"
"2012-10-09T14:00:00.000","54","54"
"2012-10-09T22:00:00.000","17","17"
"2012-10-10T15:00:00.000","65","65"
"2012-10-11T16:00:00.000","135","135"
"2012-10-13T17:00:00.000","25","25"
"2012-10-14T00:00:00.000","3","3"
"2012-10-14T02:00:00.000","4","4"
"2012-10-15T21:00:00.000","18","18"
"2012-10-15T23:00:00.000","7","7"
"2012-10-17T01:00:00.000","3","3"
"2012-10-18T23:00:00.000","7","7"
"2012-10-19T11:00:00.000","26","26"
"2012-10-20T19:00:00.000","18","18"
"2012-10-20T22:00:00.000","6","6"
"2012-10-21T05:00:00.000","4","4"
"2012-10-22T04:00:00.000","5","5"
"2012-10-22T13:00:00.000","20","20"
"2012-10-23T00:00:00.000","3","3"
"2012-10-23T01:00:00.000","1","1"
"2012-10-23T14:00:00.000","38","38"
"2012-10-27T00:00:00.000","6","6"
"2012-10-27T03:00:00.000","1","1"
"2012-10-28T00:00:00.000","5","5"
"2012-10-30T04:00:00.000","3","3"
"2012-10-30T21:00:00.000","8","8"
"2012-10-30T22:00:00.000","8","8"
"2012-10-31T00:00:00.000","2","2"
"2012-11-01T02:00:00.000","1","1"
"2012-11-01T03:00:00.000","0","0"
"2012-11-02T04:00:00.000","5","5"
"2015-07-30T05:00:00.000","20","22"
"2015-07-11T20:00:00.000","29","36"
"2015-07-31T19:00:00.000","88","103"
"2015-07-14T08:00:00.000","448","190"
"2015-07-17T20:00:00.000","32","66"
"2015-07-31T05:00:00.000","25","16"
"2015-07-31T09:00:00.000","166","93"
"2015-07-05T07:00:00.000","44","26"
"2015-07-06T12:00:00.000","49","57"
"2015-07-21T18:00:00.000","168","302"
"2012-11-03T04:00:00.000","2","2"
"2012-11-03T05:00:00.000","6","6"
"2015-07-05T22:00:00.000","15","16"
"2015-07-15T13:00:00.000","44","53"
"2015-07-06T16:00:00.000","118","163"
"2015-07-22T08:00:00.000","383","210"
"2015-07-01T05:00:00.000","33","19"
"2015-07-11T03:00:00.000","2","6"
"2015-07-04T10:00:00.000","77","65"
"2015-07-12T13:00:00.000","97","72"
"2015-07-15T16:00:00.000","149","206"
"2015-07-07T08:00:00.000","403","204"
"2015-07-03T18:00:00.000","68","72"
"2015-07-16T12:00:00.000","41","50"
"2015-07-26T10:00:00.000","55","49"
